Date,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
9/22/2016,2397,20436,5.67,498,472,30,7,1539,432,1,1,433
9/23/2016,2681,19350,8.46,687,350,32,95,1788,245,8,3,276
9/24/2016,2311,18863,5.78,656,338,34,28,1339,353,11,1,384
9/25/2016,2040,16984,4.31,839,235,2,25,952,318,10,1,339
9/26/2016,2229,16066,5.78,625,211,50,54,1188,437,17,1,457
9/27/2016,2019,14483,4.44,728,170,9,48,895,372,15,1,401
9/28/2016,1827,14483,2.33,650,239,3,5,718,496,28,3,541
9/29/2016,2222,14318,5.59,627,263,16,40,1187,472,3,6,509
9/30/2016,1978,14303,3.72,542,244,25,13,911,678,42,8,730
10/1/2016,1591,14098,1,995,152,0,0,400,263,12,1,293
10/2/2016,1951,14072,3.81,794,190,5,31,826,382,34,1,420
10/3/2016,2041,14028,4.06,678,253,13,22,972,437,37,5,474
10/4/2016,2081,13979,4.53,875,245,3,31,1007,253,11,2,286
10/5/2016,2025,13893,4.16,745,248,9,20,949,374,17,4,418
10/6/2016,2015,13840,3.74,590,296,10,6,974,493,23,4,538
10/7/2016,2039,13716,4.06,704,258,18,22,981,411,26,6,438
10/8/2016,1478,13675,0.56,913,87,0,0,228,401,23,9,440
10/9/2016,2244,13672,5.68,709,242,14,66,1200,393,5,4,409
10/10/2016,2231,13609,5.57,640,257,41,42,1207,332,2,2,348
10/11/2016,1845,13549,3.13,788,139,7,40,687,418,12,2,442
10/12/2016,1850,13510,3.07,771,151,11,37,702,499,31,7,566
10/13/2016,2188,13131,5.49,704,248,52,13,1135,404,1,7,463
10/14/2016,2352,12318,5.85,546,400,32,16,1435,400,31,2,446
10/15/2016,1650,12293,1.58,538,163,0,0,469,556,11,7,567
10/16/2016,1605,12258,1.58,811,98,4,11,379,598,10,5,628
10/17/2016,2413,12238,7.82,625,156,67,86,1370,509,18,3,550
10/18/2016,1962,12206,4.52,864,126,1,41,790,405,17,2,424
10/19/2016,2037,12163,4.96,1034,141,11,46,884,196,9,0,208
10/20/2016,2419,12163,7.66,694,197,50,77,1388,404,3,2,422
10/21/2016,2563,12145,8.29,462,267,77,72,1619,531,31,2,562
10/22/2016,2036,12090,4.24,741,223,20,36,961,392,28,1,420
10/23/2016,1941,12057,3.93,887,148,5,42,782,284,6,2,302
10/24/2016,2138,11990,5.5,579,143,30,74,1037,602,40,4,660
10/25/2016,2062,11515,4.91,856,193,2,36,940,334,17,5,363
10/26/2016,2172,11331,5.5,851,228,29,34,1110,282,3,1,298
10/27/2016,2115,11215,4.96,579,218,15,38,1027,554,23,4,590
10/28/2016,2163,11023,5.57,647,157,10,87,1063,453,4,2,469
10/29/2016,1612,10985,1.11,1005,162,0,0,432,311,30,3,343
10/30/2016,2210,10764,5.56,771,218,11,72,1157,346,9,2,368
10/31/2016,1994,10681,3.94,695,219,9,24,895,429,18,4,467
11/1/2016,1890,10530,3.67,699,130,13,41,733,572,4,5,583
11/2/2016,1928,10454,3.92,761,191,1,9,783,423,15,1,444
11/3/2016,1850,10317,3.13,822,153,15,30,701,431,3,2,454
11/4/2016,1542,10205,0.94,860,116,0,0,322,378,28,2,409
11/5/2016,2134,10194,4.6,738,186,10,64,982,493,4,4,497
11/6/2016,1741,10178,2.43,833,117,9,29,553,366,14,1,380
11/7/2016,2370,10051,6.88,629,224,64,64,1368,506,6,4,531
11/8/2016,2034,10047,4.97,760,129,16,49,879,482,4,1,486
11/9/2016,1976,9981,4.17,836,166,38,33,868,332,35,5,367
11/10/2016,1984,9968,4.16,719,189,17,32,877,463,20,2,483
11/11/2016,1603,9961,1.3,702,137,0,0,401,567,22,4,601
11/12/2016,1596,9727,1.14,921,148,0,0,402,325,30,2,355
11/13/2016,1837,9723,3.04,759,181,7,9,692,469,31,3,500
11/14/2016,1976,9581,4.13,749,158,23,44,850,418,39,5,457
11/15/2016,1828,9436,2.97,714,175,4,16,681,450,24,2,474
11/16/2016,2218,9406,5.59,643,268,29,36,1197,490,27,2,530
11/17/2016,1750,9265,2.22,786,177,2,8,596,446,13,1,467
11/18/2016,2125,9260,5,766,245,29,28,1073,337,35,2,372
11/19/2016,2320,9097,5.67,696,324,8,61,1354,336,14,3,351
11/20/2016,1610,9026,1.8,733,74,3,20,373,428,8,2,451
11/21/2016,2215,9022,5.94,696,202,39,50,1154,576,29,3,612
11/22/2016,1756,8905,2.58,1156,135,4,23,579,111,11,0,122
11/23/2016,1558,8855,0.79,976,139,0,0,356,305,0,0,305
11/24/2016,1765,8636,2.09,694,222,0,0,643,485,45,5,530
11/25/2016,1747,8223,1.99,691,201,14,1,619,519,3,3,522
11/26/2016,1721,8184,1.69,617,215,0,0,587,462,27,1,492
11/27/2016,1804,8048,2.76,709,154,6,25,644,678,8,6,686
11/28/2016,2331,7824,6.51,1092,241,54,53,1325,0,0,0,0
11/29/2016,1796,7757,2.63,865,168,3,20,644,358,26,3,384
11/30/2016,2012,7756,4.35,817,201,9,27,903,371,15,3,386
12/1/2016,1981,7742,4.06,691,175,13,44,864,510,7,6,517
12/2/2016,1818,7591,3.06,795,126,4,39,646,414,18,1,432
12/3/2016,1608,7529,1.29,640,147,0,0,417,647,49,8,697
12/4/2016,1795,7488,2.9,1275,127,8,30,617,0,0,0,0
12/5/2016,1351,7484,0.07,909,15,0,0,38,464,52,7,516
12/6/2016,1336,7354,0.03,1141,2,0,0,5,279,18,1,297
12/7/2016,1453,7173,0.65,1440,0,0,0,0,0,0,0,0
12/8/2016,2122,7046,4.91,1440,0,0,0,0,0,0,0,0
12/9/2016,1455,6825,0.37,1440,0,0,0,0,0,0,0,0
12/10/2016,1415,6390,0.24,1440,0,0,0,0,0,0,0,0
12/11/2016,1505,6337,0.62,1440,0,0,0,0,0,0,0,0
12/12/2016,1548,6013,1.23,1440,0,0,0,0,0,0,0,0
12/13/2016,1327,5773,0,1440,0,0,0,0,0,0,0,0
12/14/2016,1327,5554,0,1440,0,0,0,0,0,0,0,0
12/15/2016,1327,5447,0,1440,0,0,0,0,0,0,0,0
12/16/2016,1327,5389,0,1440,0,0,0,0,0,0,0,0
12/17/2016,1327,5170,0,1440,0,0,0,0,0,0,0,0
12/18/2016,1917,4927,3.74,1235,154,22,29,778,0,0,0,0
12/19/2016,1765,4528,2.85,1221,109,23,26,584,60,1,1,61
12/20/2016,1372,4481,0.12,1223,29,0,0,72,171,17,3,188
12/21/2016,1958,4448,3.8,1440,0,0,0,0,0,0,0,0
12/22/2016,1327,4174,0,1440,0,0,0,0,0,0,0,0
12/23/2016,1328,3906,0,1440,0,0,0,0,0,0,0,0
12/24/2016,1327,3904,0,1440,0,0,0,0,0,0,0,0
12/25/2016,1322,3801,0,1440,0,0,0,0,0,0,0,0
12/26/2016,1322,3736,0,1440,0,0,0,0,0,0,0,0
12/27/2016,1322,3215,0,1440,0,0,0,0,0,0,0,0
12/28/2016,1322,3185,0,1440,0,0,0,0,0,0,0,0
12/29/2016,1325,3148,0.01,1438,2,0,0,5,0,0,0,0
12/30/2016,1342,3043,0.11,1429,11,0,0,30,0,0,0,0
12/31/2016,1539,2925,0.92,1319,121,0,0,328,0,0,0,0
1/1/2017,1498,2828,0.75,1343,90,5,2,264,0,0,0,0
1/2/2017,1521,2749,0.99,1342,89,5,4,289,0,0,0,0
1/3/2017,1394,2638,0.27,1398,42,0,0,110,0,0,0,0
1/4/2017,1584,2472,1.56,1368,60,2,10,272,0,0,0,0
1/5/2017,1342,2444,0.07,1440,0,0,0,0,0,0,0,0
1/6/2017,1331,2334,0.05,1440,0,0,0,0,0,0,0,0
1/7/2017,1322,2331,0,1440,0,0,0,0,0,0,0,0
1/8/2017,1322,2282,0,1440,0,0,0,0,0,0,0,0
1/9/2017,1960,1953,4.28,1440,0,0,0,0,0,0,0,0
1/10/2017,1799,1931,3.21,1440,0,0,0,0,0,0,0,0
1/11/2017,2043,1895,4.65,1440,0,0,0,0,0,0,0,0
1/12/2017,1877,1846,3.64,1440,0,0,0,0,0,0,0,0
1/13/2017,1681,1597,1.91,1440,0,0,0,0,0,0,0,0
1/14/2017,1478,1541,0.77,1440,0,0,0,0,0,0,0,0
1/15/2017,1468,1395,0.78,1440,0,0,0,0,0,0,0,0
1/16/2017,1830,1241,3.49,1440,0,0,0,0,0,0,0,0
1/17/2017,1799,981,3.02,1440,0,0,0,0,0,0,0,0
1/18/2017,1667,926,2.27,1440,0,0,0,0,0,0,0,0
1/19/2017,2142,677,5.3,1440,0,0,0,0,0,0,0,0
1/20/2017,1916,584,3.25,1440,0,0,0,0,0,0,0,0
1/21/2017,1683,302,1.54,1440,0,0,0,0,0,0,0,0
1/22/2017,2014,273,4.84,1440,0,0,0,0,0,0,0,0
1/23/2017,1917,179,4.33,1440,0,0,0,0,0,0,0,0
1/24/2017,1629,20947,1.27,656,164,0,0,444,575,38,4,660
1/25/2017,2156,171,5.69,1440,0,0,0,0,0,0,0,0
1/26/2017,1809,113,3.2,1440,0,0,0,0,0,0,0,0
